neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Brooklyn,Private room,149.0,1.0,9.0,0.21,6.0,5.0
Manhattan,Entire home/apt,225.0,1.0,45.0,0.38,2.0,5.0
Manhattan,Private room,150.0,3.0,0.0,1.3732214298586618,1.0,5.0
Brooklyn,Entire home/apt,89.0,1.0,270.0,4.64,1.0,3.0
Manhattan,Entire home/apt,200.0,3.0,74.0,0.59,1.0,4.0
Manhattan,Private room,79.0,2.0,430.0,3.47,1.0,0.0
Manhattan,Entire home/apt,150.0,1.0,160.0,1.33,4.0,5.0
Manhattan,Entire home/apt,135.0,5.0,53.0,0.43,1.0,5.0
Manhattan,Private room,85.0,2.0,188.0,1.5,1.0,2.0
Brooklyn,Private room,89.0,4.0,167.0,1.34,3.0,5.0
Manhattan,Private room,85.0,2.0,113.0,0.91,1.0,0.0
Brooklyn,Entire home/apt,140.0,2.0,148.0,1.2,1.0,4.0
Brooklyn,Entire home/apt,215.0,2.0,198.0,1.72,1.0,5.0
Manhattan,Private room,140.0,1.0,260.0,2.12,1.0,5.0
Brooklyn,Entire home/apt,99.0,3.0,53.0,4.44,1.0,4.0
Manhattan,Entire home/apt,190.0,7.0,0.0,1.3732214298586618,2.0,4.0
Brooklyn,Private room,130.0,2.0,130.0,1.09,6.0,2.0
Brooklyn,Private room,80.0,1.0,39.0,0.37,6.0,5.0
Brooklyn,Private room,110.0,2.0,71.0,0.61,6.0,2.0
Brooklyn,Entire home/apt,120.0,2.0,88.0,0.73,2.0,5.0
Brooklyn,Private room,60.0,1.0,19.0,1.37,2.0,4.0
Manhattan,Entire home/apt,150.0,10.0,58.0,0.49,1.0,5.0
Manhattan,Private room,44.0,3.0,108.0,1.11,3.0,4.0
Manhattan,Entire home/apt,180.0,14.0,29.0,0.24,1.0,5.0
Manhattan,Private room,50.0,3.0,242.0,2.04,3.0,5.0
Manhattan,Private room,52.0,2.0,88.0,1.42,1.0,1.0
Brooklyn,Private room,55.0,4.0,197.0,1.65,3.0,5.0
Manhattan,Private room,50.0,3.0,273.0,2.37,3.0,3.0
Brooklyn,Private room,70.0,1.0,74.0,0.66,2.0,2.0
Brooklyn,Private room,89.0,4.0,168.0,1.41,3.0,5.0
Brooklyn,Private room,35.0,60.0,0.0,1.3732214298586618,1.0,5.0
Brooklyn,Entire home/apt,85.0,2.0,231.0,1.96,2.0,4.0
Brooklyn,Private room,150.0,1.0,0.0,1.3732214298586618,1.0,5.0
Manhattan,Shared room,40.0,1.0,214.0,1.81,4.0,2.0
Manhattan,Private room,68.0,2.0,245.0,2.08,2.0,4.0
Brooklyn,Entire home/apt,120.0,3.0,15.0,0.39,1.0,4.0
Brooklyn,Private room,120.0,7.0,25.0,0.23,1.0,3.0
Manhattan,Private room,135.0,4.0,81.0,0.69,1.0,4.0
Manhattan,Entire home/apt,150.0,7.0,97.0,0.84,1.0,4.0
Brooklyn,Entire home/apt,150.0,29.0,11.0,0.49,1.0,3.0
Queens,Private room,130.0,3.0,248.0,2.25,1.0,4.0
Brooklyn,Entire home/apt,110.0,7.0,61.0,0.52,1.0,4.0
Brooklyn,Private room,80.0,3.0,135.0,1.16,2.0,4.0
Brooklyn,Private room,80.0,1.0,112.0,1.01,3.0,4.0
Manhattan,Entire home/apt,151.0,2.0,73.0,0.63,1.0,5.0
Brooklyn,Entire home/apt,228.0,3.0,82.0,0.7,1.0,3.0
Brooklyn,Entire home/apt,144.0,2.0,328.0,2.82,1.0,4.0
Manhattan,Entire home/apt,200.0,7.0,19.0,0.22,1.0,3.0
Brooklyn,Entire home/apt,150.0,30.0,105.0,0.9,1.0,4.0
Manhattan,Private room,110.0,5.0,19.0,0.17,1.0,4.0
Manhattan,Private room,69.0,2.0,289.0,2.49,2.0,4.0
Brooklyn,Private room,49.0,4.0,138.0,1.19,3.0,3.0
Manhattan,Entire home/apt,180.0,30.0,21.0,0.3,1.0,2.0
Brooklyn,Private room,80.0,2.0,42.0,0.38,1.0,5.0
Manhattan,Entire home/apt,375.0,180.0,5.0,0.12,1.0,5.0
Manhattan,Entire home/apt,250.0,2.0,66.0,0.57,2.0,4.0
Brooklyn,Entire home/apt,200.0,30.0,143.0,1.33,2.0,3.0
Brooklyn,Private room,55.0,7.0,27.0,0.23,2.0,2.0
Manhattan,Private room,52.0,30.0,191.0,1.65,1.0,5.0
Manhattan,Private room,80.0,1.0,338.0,4.72,2.0,4.0
Brooklyn,Entire home/apt,275.0,1.0,148.0,1.4,1.0,5.0
Manhattan,Private room,99.0,1.0,106.0,1.26,2.0,5.0
Manhattan,Entire home/apt,225.0,4.0,190.0,1.64,1.0,3.0
Manhattan,Entire home/apt,230.0,9.0,49.0,0.43,1.0,4.0
Manhattan,Private room,51.0,7.0,23.0,0.43,1.0,4.0
Manhattan,Private room,65.0,2.0,49.0,1.6,2.0,4.0
Brooklyn,Private room,105.0,2.0,105.0,0.92,1.0,5.0
Manhattan,Entire home/apt,190.0,5.0,21.0,0.2,1.0,2.0
Manhattan,Private room,200.0,1.0,142.0,1.5,1.0,3.0
Queens,Private room,70.0,30.0,25.0,0.22,1.0,0.0
Brooklyn,Private room,95.0,3.0,143.0,1.28,1.0,4.0
Manhattan,Private room,150.0,3.0,167.0,1.65,1.0,1.0
Brooklyn,Private room,145.0,3.0,61.0,0.54,4.0,4.0
Manhattan,Entire home/apt,110.0,31.0,54.0,0.49,1.0,5.0
Manhattan,Entire home/apt,285.0,5.0,70.0,0.62,1.0,4.0
Brooklyn,Entire home/apt,130.0,6.0,16.0,0.15,1.0,3.0
Manhattan,Private room,94.0,30.0,94.0,0.84,1.0,3.0
Brooklyn,Entire home/apt,800.0,1.0,25.0,0.24,1.0,0.0
Brooklyn,Entire home/apt,105.0,3.0,61.0,0.53,1.0,3.0
Manhattan,Private room,60.0,3.0,194.0,1.73,1.0,5.0
Brooklyn,Private room,85.0,3.0,174.0,1.54,4.0,5.0
Brooklyn,Private room,65.0,4.0,24.0,0.28,1.0,4.0
Brooklyn,Entire home/apt,131.0,4.0,166.0,3.4,1.0,5.0
Brooklyn,Private room,98.0,7.0,16.0,0.2,6.0,5.0
Brooklyn,Entire home/apt,250.0,7.0,21.0,0.3,1.0,4.0
Brooklyn,Entire home/apt,105.0,3.0,118.0,1.05,2.0,0.0
Manhattan,Entire home/apt,140.0,3.0,81.0,0.71,1.0,3.0
Manhattan,Private room,89.0,1.0,1.0,0.11,1.0,4.0
Manhattan,Private room,98.0,30.0,30.0,0.27,2.0,5.0
Brooklyn,Entire home/apt,125.0,7.0,139.0,1.23,2.0,4.0
Manhattan,Private room,60.0,3.0,11.0,0.87,3.0,4.0
Brooklyn,Entire home/apt,175.0,2.0,233.0,2.09,3.0,4.0
Manhattan,Private room,65.0,2.0,68.0,0.6,1.0,3.0
Manhattan,Entire home/apt,500.0,4.0,46.0,0.55,2.0,3.0
Brooklyn,Private room,101.0,3.0,335.0,3.02,1.0,4.0
Brooklyn,Entire home/apt,220.0,30.0,88.0,0.79,1.0,4.0
Brooklyn,Entire home/apt,125.0,90.0,162.0,1.46,2.0,3.0
Brooklyn,Entire home/apt,80.0,30.0,29.0,0.4,1.0,3.0
Manhattan,Private room,100.0,2.0,170.0,1.61,1.0,4.0
Brooklyn,Entire home/apt,200.0,30.0,19.0,0.2,1.0,1.0
Manhattan,Private room,59.0,2.0,334.0,3.0,2.0,5.0
Brooklyn,Private room,125.0,2.0,19.0,0.2,6.0,4.0
Manhattan,Entire home/apt,140.0,7.0,12.0,0.13,1.0,4.0
Brooklyn,Entire home/apt,120.0,30.0,467.0,4.22,2.0,5.0
Manhattan,Entire home/apt,350.0,2.0,7.0,0.06,4.0,4.0
Manhattan,Entire home/apt,199.0,5.0,38.0,0.38,1.0,3.0
Brooklyn,Entire home/apt,325.0,3.0,324.0,3.01,1.0,4.0
Manhattan,Entire home/apt,235.0,6.0,27.0,0.27,1.0,5.0
Manhattan,Entire home/apt,225.0,1.0,115.0,1.05,4.0,4.0
Brooklyn,Private room,99.0,2.0,354.0,3.2,3.0,4.0
Manhattan,Entire home/apt,170.0,2.0,195.0,2.03,1.0,4.0
Brooklyn,Entire home/apt,400.0,2.0,16.0,0.24,2.0,0.0
Manhattan,Entire home/apt,170.0,7.0,13.0,0.12,1.0,4.0
Brooklyn,Private room,75.0,2.0,9.0,0.08,1.0,3.0
Brooklyn,Private room,90.0,1.0,9.0,0.08,1.0,4.0
Manhattan,Entire home/apt,150.0,5.0,21.0,0.19,1.0,3.0
Manhattan,Private room,85.0,15.0,36.0,0.33,1.0,5.0
Brooklyn,Private room,70.0,3.0,63.0,0.58,2.0,1.0
Manhattan,Entire home/apt,120.0,3.0,155.0,1.42,3.0,4.0
Brooklyn,Private room,89.0,3.0,260.0,2.35,1.0,0.0
Manhattan,Entire home/apt,185.0,5.0,73.0,0.66,1.0,3.0
Manhattan,Entire home/apt,105.0,3.0,32.0,0.29,1.0,4.0
Manhattan,Private room,130.0,2.0,50.0,0.45,3.0,4.0
Manhattan,Entire home/apt,115.0,29.0,26.0,0.25,1.0,4.0
Brooklyn,Private room,77.0,2.0,2.0,0.02,1.0,4.0
Brooklyn,Private room,76.0,2.0,426.0,3.89,3.0,4.0
Brooklyn,Entire home/apt,125.0,3.0,227.0,2.09,2.0,5.0
Brooklyn,Private room,135.0,4.0,84.0,0.77,3.0,0.0
Brooklyn,Entire home/apt,250.0,29.0,3.0,0.03,1.0,4.0
Brooklyn,Entire home/apt,199.0,3.0,10.0,0.1,1.0,0.0
Queens,Private room,140.0,2.0,1.0,0.01,1.0,3.0
Brooklyn,Entire home/apt,115.0,3.0,124.0,1.72,2.0,4.0
Brooklyn,Entire home/apt,160.0,3.0,11.0,0.11,1.0,4.0
Brooklyn,Entire home/apt,195.0,4.0,240.0,2.19,1.0,3.0
Manhattan,Entire home/apt,195.0,3.0,30.0,0.28,1.0,2.0
Brooklyn,Private room,80.0,3.0,200.0,1.86,4.0,3.0
Brooklyn,Private room,44.0,8.0,27.0,1.05,5.0,0.0
Manhattan,Private room,156.0,4.0,79.0,0.74,1.0,3.0
Brooklyn,Private room,85.0,15.0,9.0,0.09,1.0,5.0
Brooklyn,Private room,125.0,3.0,155.0,1.61,1.0,5.0
Brooklyn,Entire home/apt,115.0,15.0,4.0,0.05,1.0,5.0
Manhattan,Private room,69.0,2.0,34.0,0.32,1.0,5.0
Manhattan,Entire home/apt,225.0,45.0,134.0,1.24,1.0,2.0
Brooklyn,Entire home/apt,125.0,6.0,27.0,0.25,1.0,5.0
Manhattan,Entire home/apt,219.0,4.0,126.0,1.16,2.0,3.0
Brooklyn,Entire home/apt,475.0,3.0,23.0,0.27,1.0,5.0
Manhattan,Entire home/apt,99.0,1.0,234.0,2.6,2.0,5.0
Brooklyn,Private room,69.0,4.0,202.0,1.86,2.0,4.0
Queens,Private room,79.0,30.0,28.0,0.26,1.0,4.0
Brooklyn,Entire home/apt,135.0,2.0,309.0,2.86,2.0,4.0
Brooklyn,Private room,250.0,3.0,14.0,0.13,1.0,5.0
Manhattan,Entire home/apt,250.0,3.0,4.0,0.08,1.0,4.0
Brooklyn,Private room,70.0,2.0,294.0,3.47,3.0,5.0
Brooklyn,Entire home/apt,165.0,2.0,150.0,1.4,3.0,4.0
Staten Island,Private room,70.0,2.0,166.0,1.66,1.0,5.0
Brooklyn,Private room,50.0,2.0,47.0,0.94,1.0,5.0
Bronx,Private room,40.0,1.0,219.0,2.04,3.0,4.0
Brooklyn,Entire home/apt,150.0,2.0,193.0,1.78,1.0,4.0
Manhattan,Private room,125.0,1.0,84.0,0.78,4.0,3.0
Brooklyn,Private room,110.0,2.0,213.0,2.0,2.0,5.0
Manhattan,Entire home/apt,170.0,3.0,86.0,0.8,1.0,5.0
Manhattan,Entire home/apt,165.0,3.0,80.0,0.75,3.0,4.0
Manhattan,Entire home/apt,150.0,26.0,38.0,0.36,1.0,5.0
Queens,Entire home/apt,350.0,8.0,10.0,0.11,5.0,5.0
Manhattan,Private room,99.0,4.0,122.0,1.18,2.0,5.0
Brooklyn,Entire home/apt,200.0,4.0,33.0,0.58,1.0,4.0
Brooklyn,Entire home/apt,150.0,5.0,52.0,0.5,1.0,4.0
Brooklyn,Private room,90.0,3.0,126.0,1.17,4.0,5.0
Brooklyn,Private room,120.0,3.0,51.0,0.48,3.0,3.0
Manhattan,Private room,75.0,3.0,199.0,1.85,1.0,3.0
Brooklyn,Entire home/apt,175.0,26.0,30.0,0.29,1.0,2.0
Manhattan,Entire home/apt,275.0,1.0,41.0,0.38,1.0,4.0
Manhattan,Entire home/apt,299.0,2.0,109.0,1.04,1.0,2.0
Brooklyn,Entire home/apt,135.0,5.0,151.0,1.43,3.0,3.0
Manhattan,Private room,83.0,1.0,285.0,2.69,1.0,4.0
Manhattan,Private room,123.0,1.0,375.0,3.52,1.0,4.0
Queens,Private room,55.0,2.0,52.0,0.49,2.0,4.0
Queens,Entire home/apt,98.0,30.0,33.0,0.31,5.0,3.0
Queens,Private room,140.0,7.0,6.0,0.06,5.0,4.0
Queens,Entire home/apt,265.0,7.0,38.0,0.38,5.0,4.0
Brooklyn,Entire home/apt,249.0,2.0,358.0,3.44,2.0,4.0
Manhattan,Shared room,105.0,6.0,10.0,0.09,1.0,5.0
Manhattan,Private room,200.0,30.0,0.0,1.3732214298586618,1.0,4.0
Brooklyn,Private room,100.0,2.0,226.0,2.12,3.0,5.0
Manhattan,Entire home/apt,121.0,1.0,104.0,1.0,5.0,0.0
Bronx,Private room,45.0,1.0,138.0,1.45,3.0,4.0
Manhattan,Private room,100.0,5.0,204.0,1.92,1.0,5.0
Brooklyn,Entire home/apt,140.0,2.0,253.0,3.04,1.0,2.0
Brooklyn,Private room,71.0,2.0,23.0,0.22,1.0,5.0
Manhattan,Private room,130.0,2.0,115.0,1.17,1.0,4.0
Manhattan,Entire home/apt,199.0,5.0,129.0,1.22,1.0,5.0
Brooklyn,Private room,69.0,4.0,82.0,1.13,2.0,5.0
Manhattan,Entire home/apt,130.0,1.0,204.0,2.04,1.0,5.0
Brooklyn,Entire home/apt,195.0,2.0,69.0,0.65,1.0,5.0
Manhattan,Private room,64.0,1.0,192.0,1.84,5.0,3.0
Queens,Entire home/apt,140.0,2.0,17.0,0.16,1.0,0.0
Brooklyn,Entire home/apt,159.0,2.0,222.0,2.12,1.0,2.0
Manhattan,Entire home/apt,250.0,3.0,94.0,0.96,1.0,5.0
Manhattan,Entire home/apt,239.0,3.0,7.0,0.07,1.0,5.0
Manhattan,Entire home/apt,305.0,2.0,108.0,1.09,1.0,5.0
Manhattan,Entire home/apt,155.0,3.0,222.0,2.1,2.0,2.0
Manhattan,Private room,60.0,1.0,458.0,4.58,2.0,4.0
Brooklyn,Private room,135.0,2.0,21.0,0.26,1.0,0.0
Manhattan,Private room,120.0,7.0,17.0,0.3,1.0,5.0
Manhattan,Entire home/apt,150.0,3.0,41.0,0.39,1.0,4.0
Queens,Entire home/apt,140.0,14.0,1.0,0.01,5.0,5.0
Brooklyn,Entire home/apt,135.0,2.0,69.0,0.67,1.0,5.0
Manhattan,Entire home/apt,250.0,4.0,18.0,0.18,2.0,5.0
Manhattan,Entire home/apt,500.0,4.0,94.0,0.99,1.0,5.0
Manhattan,Entire home/apt,225.0,5.0,10.0,0.1,1.0,4.0
Manhattan,Entire home/apt,125.0,28.0,183.0,1.83,2.0,5.0
Manhattan,Private room,92.0,1.0,189.0,1.82,5.0,5.0
Manhattan,Private room,175.0,2.0,1.0,0.11,1.0,4.0
Manhattan,Entire home/apt,99.0,2.0,127.0,1.22,1.0,3.0
Manhattan,Entire home/apt,140.0,3.0,135.0,1.3,3.0,0.0
Manhattan,Entire home/apt,500.0,2.0,35.0,0.34,1.0,4.0
Manhattan,Private room,120.0,4.0,171.0,1.8,2.0,4.0
Manhattan,Entire home/apt,110.0,200.0,92.0,0.9,1.0,3.0
Brooklyn,Entire home/apt,65.0,3.0,238.0,2.3,1.0,2.0
Manhattan,Entire home/apt,130.0,50.0,56.0,0.58,1.0,5.0
Brooklyn,Entire home/apt,99.0,3.0,111.0,2.13,1.0,4.0
Staten Island,Private room,36.0,2.0,193.0,1.85,6.0,4.0
Staten Island,Private room,37.0,2.0,177.0,1.71,6.0,2.0
Manhattan,Entire home/apt,175.0,3.0,185.0,1.78,2.0,5.0
Manhattan,Entire home/apt,205.0,9.0,62.0,0.7,2.0,4.0
Brooklyn,Entire home/apt,285.0,3.0,124.0,1.22,3.0,3.0
Brooklyn,Private room,59.0,2.0,181.0,1.77,2.0,4.0
Staten Island,Private room,36.0,2.0,333.0,3.19,6.0,4.0
Queens,Entire home/apt,99.0,5.0,441.0,4.5,1.0,3.0
Brooklyn,Private room,39.0,1.0,45.0,0.46,2.0,2.0
Bronx,Private room,90.0,2.0,0.0,1.3732214298586618,7.0,5.0
Bronx,Entire home/apt,105.0,2.0,38.0,0.5,13.0,5.0
Brooklyn,Entire home/apt,135.0,2.0,248.0,2.39,2.0,2.0
Manhattan,Entire home/apt,390.0,5.0,143.0,1.38,2.0,4.0
Brooklyn,Private room,70.0,3.0,36.0,0.41,4.0,4.0
Manhattan,Private room,75.0,7.0,0.0,1.3732214298586618,2.0,5.0
Brooklyn,Private room,60.0,17.0,14.0,0.14,4.0,4.0
Brooklyn,Private room,100.0,3.0,279.0,2.69,1.0,3.0
Brooklyn,Private room,70.0,4.0,18.0,0.22,4.0,3.0
Brooklyn,Private room,60.0,2.0,227.0,2.27,2.0,4.0
Manhattan,Entire home/apt,90.0,14.0,1.0,0.16,1.0,4.0
Manhattan,Private room,68.0,2.0,203.0,1.96,2.0,2.0
Manhattan,Entire home/apt,115.0,2.0,210.0,2.1,1.0,4.0
Brooklyn,Private room,75.0,5.0,64.0,0.67,1.0,3.0
Manhattan,Entire home/apt,129.0,7.0,5.0,0.15,1.0,0.0
Brooklyn,Entire home/apt,130.0,10.0,49.0,0.48,1.0,2.0
Brooklyn,Entire home/apt,95.0,4.0,132.0,1.27,1.0,4.0
Manhattan,Private room,75.0,3.0,20.0,0.26,1.0,4.0
Brooklyn,Entire home/apt,175.0,2.0,11.0,0.11,1.0,2.0
Brooklyn,Entire home/apt,190.0,3.0,51.0,0.57,1.0,4.0
Brooklyn,Private room,49.0,21.0,15.0,0.15,5.0,0.0
Manhattan,Entire home/apt,212.0,3.0,67.0,1.31,1.0,3.0
Manhattan,Private room,95.0,1.0,109.0,1.11,3.0,3.0
Brooklyn,Entire home/apt,140.0,2.0,9.0,0.11,1.0,2.0
Manhattan,Entire home/apt,135.0,6.0,187.0,1.87,1.0,2.0
Brooklyn,Entire home/apt,150.0,2.0,214.0,2.08,2.0,3.0
Brooklyn,Entire home/apt,190.0,3.0,69.0,0.79,2.0,5.0
Manhattan,Entire home/apt,124.0,28.0,22.0,0.26,1.0,3.0
Brooklyn,Entire home/apt,135.0,30.0,56.0,0.56,1.0,2.0
Manhattan,Private room,122.0,3.0,93.0,0.93,1.0,2.0
Manhattan,Private room,109.0,1.0,104.0,1.05,2.0,3.0
Manhattan,Private room,85.0,30.0,64.0,0.68,1.0,2.0
Brooklyn,Entire home/apt,145.0,3.0,127.0,1.25,2.0,3.0
Manhattan,Entire home/apt,195.0,11.0,30.0,0.32,1.0,4.0
Brooklyn,Entire home/apt,250.0,2.0,106.0,1.34,3.0,4.0
Brooklyn,Private room,125.0,3.0,6.0,0.1,1.0,3.0
Manhattan,Entire home/apt,575.0,2.0,191.0,1.88,1.0,3.0
Manhattan,Entire home/apt,150.0,30.0,48.0,0.55,1.0,1.0
Brooklyn,Private room,70.0,5.0,47.0,0.49,1.0,2.0
Manhattan,Private room,90.0,2.0,120.0,1.27,1.0,3.0
Manhattan,Private room,65.0,3.0,52.0,0.63,1.0,2.0
Manhattan,Entire home/apt,500.0,2.0,48.0,0.48,4.0,3.0
Manhattan,Entire home/apt,250.0,3.0,32.0,0.43,2.0,2.0
Manhattan,Entire home/apt,125.0,25.0,43.0,0.42,1.0,5.0
Manhattan,Entire home/apt,200.0,30.0,39.0,0.44,1.0,5.0
Brooklyn,Entire home/apt,229.0,1.0,50.0,0.5,1.0,4.0
Bronx,Entire home/apt,90.0,30.0,4.0,0.35,2.0,5.0
Brooklyn,Private room,59.0,3.0,29.0,0.36,1.0,3.0
Brooklyn,Entire home/apt,195.0,4.0,59.0,0.6,1.0,4.0
Brooklyn,Entire home/apt,169.0,1.0,68.0,0.67,2.0,0.0
Manhattan,Entire home/apt,113.0,14.0,26.0,0.27,3.0,5.0
Manhattan,Entire home/apt,250.0,14.0,31.0,0.31,1.0,3.0
Queens,Entire home/apt,115.0,2.0,198.0,2.01,1.0,3.0
Brooklyn,Private room,69.0,2.0,220.0,2.17,2.0,4.0
Manhattan,Entire home/apt,150.0,3.0,286.0,2.81,1.0,2.0
Brooklyn,Entire home/apt,169.0,2.0,398.0,3.97,3.0,2.0
Brooklyn,Private room,179.0,3.0,36.0,0.36,28.0,2.0
Manhattan,Private room,150.0,3.0,36.0,0.36,1.0,5.0
Brooklyn,Entire home/apt,350.0,6.0,14.0,0.3,1.0,5.0
Brooklyn,Private room,120.0,14.0,76.0,0.76,6.0,5.0
Manhattan,Private room,71.0,2.0,182.0,1.81,1.0,4.0
Brooklyn,Private room,349.0,3.0,8.0,0.09,28.0,4.0
Brooklyn,Private room,349.0,3.0,7.0,0.07,28.0,2.0
Brooklyn,Entire home/apt,165.0,30.0,34.0,0.51,2.0,4.0
Brooklyn,Private room,249.0,3.0,2.0,0.02,28.0,3.0
Brooklyn,Entire home/apt,200.0,3.0,80.0,0.85,2.0,3.0
Manhattan,Entire home/apt,169.0,4.0,240.0,2.4,1.0,5.0
Brooklyn,Entire home/apt,185.0,3.0,46.0,1.07,1.0,5.0
Brooklyn,Entire home/apt,65.0,2.0,228.0,2.27,1.0,4.0
Brooklyn,Entire home/apt,130.0,35.0,5.0,0.05,1.0,3.0
Brooklyn,Entire home/apt,199.0,30.0,8.0,0.11,1.0,4.0
Brooklyn,Private room,179.0,3.0,13.0,0.14,28.0,4.0
Manhattan,Entire home/apt,139.0,1.0,388.0,3.88,1.0,5.0
Manhattan,Private room,95.0,3.0,223.0,2.22,2.0,5.0
Brooklyn,Entire home/apt,79.0,15.0,11.0,0.11,5.0,4.0
Manhattan,Entire home/apt,150.0,2.0,151.0,1.51,2.0,4.0
Brooklyn,Entire home/apt,650.0,5.0,0.0,1.3732214298586618,3.0,1.0
Brooklyn,Entire home/apt,90.0,3.0,218.0,2.26,4.0,5.0
Brooklyn,Entire home/apt,120.0,2.0,75.0,0.76,2.0,2.0
Queens,Private room,80.0,1.0,42.0,1.21,2.0,0.0
Brooklyn,Entire home/apt,100.0,90.0,0.0,1.3732214298586618,1.0,4.0
