neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Manhattan,Flatiron District,Private room,85,1,0,1.3732214298586618,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,50,2,4,0.12,1,0
Brooklyn,Columbia St,Entire home/apt,275,2,18,0.46,1,292
Brooklyn,Crown Heights,Private room,49,2,34,1.11,5,29
Manhattan,Nolita,Entire home/apt,399,5,29,3.16,1,76
Manhattan,East Harlem,Private room,70,2,169,4.27,1,38
Manhattan,Financial District,Private room,100,3,3,0.19,1,0
Manhattan,Harlem,Entire home/apt,450,3,35,0.77,1,264
Brooklyn,Bedford-Stuyvesant,Private room,50,3,0,1.3732214298586618,1,0
Manhattan,Financial District,Entire home/apt,235,2,3,1.11,327,340
Queens,Flushing,Private room,55,1,0,1.3732214298586618,7,79
Brooklyn,Williamsburg,Private room,69,1,0,1.3732214298586618,1,0
Manhattan,Upper East Side,Entire home/apt,130,3,0,1.3732214298586618,2,42
Manhattan,East Village,Private room,95,5,64,0.88,1,316
Queens,Jamaica,Entire home/apt,66,1,94,2.71,2,180
Brooklyn,Bedford-Stuyvesant,Entire home/apt,132,3,120,2.37,2,214
Manhattan,Hell's Kitchen,Entire home/apt,220,28,0,1.3732214298586618,1,167
Manhattan,Upper East Side,Entire home/apt,250,1,13,0.28,1,0
Bronx,Hunts Point,Private room,40,1,11,5.08,2,121
Manhattan,Hell's Kitchen,Private room,131,4,33,0.88,1,180
Brooklyn,Bedford-Stuyvesant,Private room,65,2,34,4.2,1,175
Brooklyn,Gowanus,Private room,75,30,0,1.3732214298586618,1,0
Manhattan,Hell's Kitchen,Entire home/apt,175,1,49,1.11,1,4
Manhattan,Upper East Side,Entire home/apt,215,1,0,1.3732214298586618,1,0
Brooklyn,Bedford-Stuyvesant,Private room,55,2,41,1.09,2,0
Queens,Astoria,Private room,100,1,2,2.0,3,179
Brooklyn,Williamsburg,Private room,80,2,29,0.9,2,34
Manhattan,Upper West Side,Entire home/apt,175,3,0,1.3732214298586618,1,0
Brooklyn,Bedford-Stuyvesant,Private room,49,1,0,1.3732214298586618,2,0
Brooklyn,Williamsburg,Private room,65,1,0,1.3732214298586618,1,0
Manhattan,Washington Heights,Entire home/apt,100,14,1,0.03,2,0
Manhattan,Harlem,Private room,75,1,0,1.3732214298586618,1,0
Queens,Ridgewood,Private room,45,30,1,1.0,23,309
Brooklyn,Park Slope,Entire home/apt,100,3,26,3.79,1,219
Manhattan,Theater District,Private room,100,1,0,1.3732214298586618,7,315
Brooklyn,Crown Heights,Private room,70,5,2,1.54,7,308
Manhattan,Harlem,Private room,53,1,26,5.03,1,1
Queens,Long Island City,Entire home/apt,299,1,2,1.62,10,341
Queens,Arverne,Private room,75,2,8,0.68,1,67
Brooklyn,Bushwick,Private room,45,2,1,1.0,1,1
Queens,Queens Village,Private room,41,1,38,3.99,3,163
Manhattan,West Village,Entire home/apt,225,2,54,2.22,1,79
Manhattan,Midtown,Entire home/apt,180,1,0,1.3732214298586618,1,0
Manhattan,Upper West Side,Private room,52,1,64,5.42,3,11
Manhattan,East Harlem,Shared room,56,2,117,1.53,1,303
Brooklyn,Crown Heights,Private room,52,1,0,1.3732214298586618,1,0
Manhattan,Harlem,Entire home/apt,260,3,38,0.94,1,296
Brooklyn,Williamsburg,Private room,45,5,0,1.3732214298586618,2,0
Manhattan,Chelsea,Private room,140,14,1,0.02,1,0
Manhattan,Harlem,Shared room,75,1,0,1.3732214298586618,2,34
Manhattan,Hell's Kitchen,Private room,99,1,15,1.81,1,0
Manhattan,Flatiron District,Private room,95,1,0,1.3732214298586618,1,0
Brooklyn,Crown Heights,Private room,60,2,41,1.88,4,320
Manhattan,East Harlem,Entire home/apt,150,1,5,2.88,1,21
Manhattan,Tribeca,Private room,120,2,2,0.14,1,0
Manhattan,East Village,Entire home/apt,225,2,2,0.22,1,0
Brooklyn,Greenpoint,Entire home/apt,65,24,1,0.05,1,0
