neighbourhood,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,ng_Brooklyn,ng_Manhattan,ng_Queens,ng_Staten Island,rt_Private room,rt_Shared room
Greenwich Village,150,12,16,0.22,1,35,0,1,0,0,0,0
East Village,150,1,6,0.36,1,0,0,1,0,0,1,0
Gramercy,120,10,51,0.86,1,64,0,1,0,0,0,0
Bedford-Stuyvesant,40,1,4,0.25,1,84,1,0,0,0,1,0
Fordham,60,2,6,1.96,3,34,0,0,0,0,1,0
Murray Hill,222,30,1,0.21,50,364,0,1,0,0,0,0
Sunnyside,30,3,2,2.0,12,354,0,0,1,0,0,1
Bedford-Stuyvesant,49,1,102,6.73,3,0,1,0,0,0,1,0
Sheepshead Bay,36,7,8,0.71,2,81,1,0,0,0,1,0
Sunset Park,250,2,29,4.08,1,121,1,0,0,0,0,0
Harlem,75,2,52,1.04,3,0,0,1,0,0,1,0
Midtown,155,1,2,2.0,1,300,0,1,0,0,0,0
East Village,190,1,0,1.3732214298586618,1,0,0,1,0,0,0,0
Washington Heights,50,4,4,0.2,1,0,0,1,0,0,1,0
Financial District,222,29,0,1.3732214298586618,96,333,0,1,0,0,0,0
East Flatbush,75,3,2,1.54,7,245,1,0,0,0,1,0
Red Hook,245,1,50,0.92,1,19,1,0,0,0,0,0
Nolita,200,5,7,0.36,1,1,0,1,0,0,0,0
Jackson Heights,105,7,2,0.05,1,0,0,0,1,0,0,0
Midtown,219,30,0,1.3732214298586618,87,343,0,1,0,0,0,0
Williamsburg,90,1,0,1.3732214298586618,1,364,1,0,0,0,1,0
Sunnyside,50,1,25,1.56,1,5,0,0,1,0,0,1
Midtown,100,1,20,4.29,1,7,0,1,0,0,1,0
Bedford-Stuyvesant,165,3,36,4.37,2,274,1,0,0,0,0,0
Upper West Side,100,28,0,1.3732214298586618,1,166,0,1,0,0,1,0
Fort Greene,95,5,0,1.3732214298586618,2,0,1,0,0,0,1,0
Riverdale,65,1,202,4.35,1,0,0,0,0,0,1,0
East Flatbush,48,1,5,0.8,5,0,1,0,0,0,1,0
West Village,199,14,65,0.73,1,155,0,1,0,0,0,0
Harlem,85,1,8,2.61,9,150,0,1,0,0,1,0
Washington Heights,60,3,28,2.64,2,0,0,1,0,0,1,0
East Village,128,30,7,0.5,1,142,0,1,0,0,0,0
Bedford-Stuyvesant,85,3,0,1.3732214298586618,1,0,1,0,0,0,1,0
Williamsburg,75,3,4,4.0,1,101,1,0,0,0,1,0
Fort Greene,175,10,1,0.03,1,189,1,0,0,0,0,0
Bushwick,70,15,6,0.42,1,321,1,0,0,0,1,0
Financial District,265,4,33,0.39,1,0,0,1,0,0,0,0
Nolita,142,30,7,0.24,91,66,0,1,0,0,0,0
Pelham Gardens,86,2,41,3.18,1,111,0,0,0,0,0,0
East Harlem,160,90,0,1.3732214298586618,1,140,0,1,0,0,0,0
Greenwich Village,200,2,26,0.55,1,0,0,1,0,0,0,0
Hell's Kitchen,223,3,3,3.0,1,25,0,1,0,0,0,0
Ridgewood,69,1,30,0.4,1,0,0,0,1,0,1,0
Greenwich Village,150,2,16,0.37,1,0,0,1,0,0,0,0
Lower East Side,120,3,6,0.85,1,0,0,1,0,0,1,0
East Harlem,62,1,4,4.0,1,7,0,1,0,0,1,0
Long Island City,75,1,0,1.3732214298586618,1,42,0,0,1,0,0,0
Sunnyside,120,10,30,0.52,1,142,0,0,1,0,0,0
Midtown,120,1,12,5.0,2,156,0,1,0,0,1,0
Jamaica,85,2,12,3.56,3,330,0,0,1,0,1,0
Harlem,78,7,26,0.71,1,0,0,1,0,0,1,0
